WEEK_START_DATE,CHANNEL,SALES_VOLUME,ORDER_COUNT
2026-06-29,Drive-Thru,35946586.43,3065868
2026-06-29,Order Ahead,7563695.03,757089
2026-06-29,Walk-Up,4052729.86,390925
2026-07-06,Drive-Thru,34565208.01,3029519
2026-07-06,Order Ahead,7510161.94,781279
2026-07-06,Walk-Up,3678730.70,372237
2026-07-13,Drive-Thru,35791755.33,3113927
2026-07-13,Order Ahead,7674298.23,792070
2026-07-13,Walk-Up,4039840.16,400824
2026-07-20,Drive-Thru,34613416.22,3051190
2026-07-20,Order Ahead,7526596.15,784746
2026-07-20,Walk-Up,3793386.76,362861
2026-07-27,Drive-Thru,34647947.69,3055614
2026-07-27,Order Ahead,7427314.91,770437
2026-07-27,Walk-Up,3644438.06,365838
2026-08-03,Drive-Thru,35043052.83,3112530
2026-08-03,Order Ahead,7738867.79,817049
2026-08-03,Walk-Up,3731378.17,378991
2026-08-10,Drive-Thru,34626081.15,3082932
2026-08-10,Order Ahead,7267791.84,777112
2026-08-10,Walk-Up,3665264.58,373744
2026-08-17,Drive-Thru,34596541.42,3105702
2026-08-17,Order Ahead,8201143.78,859394
2026-08-17,Walk-Up,3988094.33,403305
2026-08-24,Drive-Thru,33956457.47,3062581
2026-08-24,Order Ahead,7939365.62,837400
2026-08-24,Walk-Up,3700760.31,381428
2026-08-31,Drive-Thru,33485654.02,2995516
2026-08-31,Order Ahead,7898753.60,831709
2026-08-31,Walk-Up,3604608.70,370357
2026-09-07,Drive-Thru,34490977.88,3046704
2026-09-07,Order Ahead,8091299.87,858066
2026-09-07,Walk-Up,3732569.88,379727
2026-09-14,Drive-Thru,32789219.32,2989687
2026-09-14,Order Ahead,7934882.82,850548
2026-09-14,Walk-Up,3427393.75,357689
